"","budget","original_language","popularity","runtime","runtime_cat","revenue","sw_lang_en","sw_web_presence","sw_tagline","keyword_cnt","release_year","release_month","high_release_month","release_day","sw_collection","countries_cnt","lang_US","lang_FR","lang_RU","lang_ES","lang_JA","actor0_movies_cnt","actor0_movies_3y_cnt","actor1_movies_cnt","actor1_movies_3y_cnt","actor2_movies_cnt","actor2_movies_3y_cnt","sw_female_actor0","sw_female_actor1","sw_female_actor2","sw_male_actor0","sw_male_actor1","sw_male_actor2","actor0_prev_revenue","actor1_prev_revenue","actor2_prev_revenue","director_movies_cnt","director_movies_3y_cnt","genre_adventure","genre_fantasy","genre_animation","genre_drama","genre_horror","genre_action","genre_comedy","genre_history","genre_thriller","genre_crime","genre_documentary","genre_science_fiction","genre_mystery","genre_music","genre_romance","genre_family","genre_war","depart_Art","depart_Camera","depart_Crew","depart_Custom_Mkup","depart_Directing","depart_Editing","depart_Lighting","depart_Production","depart_Sound","depart_Visual_Effects","depart_Writing","depart_Art_female","depart_Camera_female","depart_Crew_female","depart_Custom_Mkup_female","depart_Directing_female","depart_Editing_female","depart_Lighting_female","depart_Production_female","depart_Sound_female","depart_Writing_female","producers_5y_revenue","directors_5y_revenue","actors_5y_revenue"
"1",2.77317813159564,"en",1.64461042017716,1.73403132149329,"Medium",16.3875119909857,"Yes","Yes","Yes",12,2014,10,"Yes",10,"3-5","1","Yes","No","No","No","No","0-2","1",">8","1","0-2","0","No","No","Yes","Yes","Yes","No",2.92788582438395,3.00863410761597,2.96150896771689,"0","0","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",">2",">2",">2",">2",">2",">2","1",">2",">2",">2","1",">0","0",">0","0","0","0","0",">0","0","0",20.1130063980331,0,2.93329660164124
"2",2.70790572053814,"hi",0.887520418577215,1.75995646498688,"Large",16.5880993427041,"No","Yes","No",7,2012,3,"No",9,"0-2","1","Yes","No","No","No","No","0-2","1","0-2","0","0-2","0","Yes","No","No","No","Yes","No",2.78664557115405,2.82748187306988,2.87952327579328,"0","0","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",5.5196075378551,0,2.78664557115405
"3",0,"ko",0.567906901220673,1.75425202639466,"Medium",15.1826147092221,"No","No","No",0,2009,2,"No",5,"0-2","1","No","No","No","No","No","0-2","0","0-2","0","0-2","0","No","No","No","Yes","Yes","Yes",2.8520590853547,2.83644297169747,2.8855027772026,"0","0","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",2.03234053512408,0,0
"4",2.8270148923815,"en",0.441967356770477,1.69208954599311,"Short",14.9977403877373,"Yes","No","No",0,1987,8,"Yes",6,"0-2","0","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","No","No","Yes","Yes","No",2.92856445144763,2.90750025529449,2.93117200031928,"0","0","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","1","0","0","0","1","0","0","1","0",">2",">2","0","0","0","0","0","0","0","0","0","0",10.3951882776847,0,0
"5",0,"en",0.733079683616161,1.69426630547034,"Short",14.7658208078891,"Yes","No","Yes",7,2004,1,"No",15,"0-2","0","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","No","No","No","No","Yes",2.87414231647402,2.85819105632115,2.89322071424836,"0","0","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",">0","0","0","0","0","0",2.84920495561621,0,0
"6",2.80984056296996,"en",1.00633183121475,1.70870182538799,"Short",16.7467174836273,"Yes","No","Yes",2,2003,4,"No",16,"0-2","1","Yes","No","No","No","No","3-5","2","3-5","0","0-2","0","No","No","No","Yes","Yes","Yes",2.98627142127457,3.0110917064316,2.94330115639758,"0","0","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No",">2","1","0","1","1","1","0","2","0","0","2",">0",">0","0",">0","0","0","0",">0","0","0",19.6778157326525,0,3.00951890452363
"7",2.69567471016032,"en",1.32398460751838,1.75569899267821,"Large",18.5796922877578,"Yes","No","Yes",16,1976,11,"No",21,"0-2","1","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","Yes","No","Yes","No","Yes",2.94865638995112,3.01145993302148,2.91553965702954,"0","0","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No",">2",">2",">2","1",">2",">2","1",">2",">2","0","1","0","0","0","0",">0",">0","0","0","0","0",19.0833527117449,0,0
"8",0,"en",1.23725597268203,1.72189476247005,"Medium",16.9353186482532,"Yes","No","Yes",6,1987,7,"No",10,"3-5","1","Yes","No","No","No","No","3-5","0","0-2","0","0-2","1","No","No","No","Yes","Yes","Yes",2.86246210055369,2.87260058091167,2.83834155033763,"0","0","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",19.5908571848632,0,0
"9",2.6477597376813,"sr",0.532005694096482,1.72007860952669,"Medium",5.29330482472449,"No","Yes","Yes",2,2010,10,"Yes",6,"0-2","1","No","No","No","No","No","0-2","0","0-2","0","0-2","0","No","No","No","Yes","No","No",2.97422137052497,2.99297673278139,2.98967709125811,"0","0","No","No","No","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","1",">2",">2",">2","1","2","0","2",">2","0",">2","0","0","0","0","0","0","0","0","0","0",0,0,0
"10",2.89445270474066,"en",1.09624952958721,1.69641295974363,"Short",17.8740863781193,"Yes","No","Yes",4,2005,8,"Yes",4,"3-5","1","Yes","No","Yes","No","No","0-2","2","3-5",">2",">8",">2","Yes","No","No","No","Yes","Yes",3.01889296669078,3.03208112041883,3.03620559115155,">2","0","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No",">2","1","1",">2","2",">2","0",">2","1","0","1",">0","0","0",">0",">0","0","0",">0","0","0",21.3598393670707,0,3.03696571257098
"11",0,"en",0.972856943334158,1.74370633586132,"Medium",14.025978107156,"Yes","No","Yes",2,2013,12,"Yes",25,"3-5","1","Yes","No","No","No","No","6-8","2","3-5",">2","0-2","0","No","Yes","Yes","Yes","No","No",3.02152773271402,2.85624331187395,2.90495617864014,"1",">0","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No",">2","1","2",">2","1","1","0",">2",">2",">2","2",">0","0","0","0","0","0","0",">0","0","0",19.3910666975469,13.8855989624691,3.02170104486005
"12",0,"en",1.15597232321958,1.7513148227388,"Medium",11.5163794929417,"Yes","Yes","Yes",13,2012,7,"No",28,"3-5","1","Yes","No","No","No","No","0-2","1","0-2","1","0-2","0","No","No","No","Yes","Yes","Yes",2.8610031060996,2.8610031060996,2.89188933928278,"0","0","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","0","0","0","0",">2","0","0",">2","0","0",">2","0","0","0","0","0","0","0",">0","0","0",0,16.4790514887815,2.8610031060996
"13",0,"en",0.611396193950938,1.71065777618006,"Short",9.74167425637352,"Yes","Yes","Yes",0,2011,9,"Yes",2,"3-5","1","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","Yes","No","Yes","No","Yes",2.9191385252707,2.90460617476618,2.92805065534396,"0","0","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","0","1","0","0","1","1","0",">2","2","0","2","0","0","0","0","0","0","0","0",">0","0",0,0,0
"14",2.80984056296996,"en",1.11477325636247,1.69426630547034,"Short",15.5818920464575,"Yes","No","Yes",6,1986,8,"Yes",8,"3-5","1","Yes","No","No","No","Yes","0-2","1","0-2","0","0-2","0","No","No","No","Yes","Yes","Yes",2.91495174168662,2.96125077131326,2.94305330406502,"0","0","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","0","1","0","0","1","1","0",">2","1","0","1","0","0","0","0","0","0","0","0","0","0",0,0,2.91495174168662
"15",2.96089857581024,"en",1.29967165480332,1.73568790592766,"Medium",18.8055138757495,"Yes","Yes","Yes",4,2015,10,"Yes",21,"6-8","1","Yes","No","No","No","No",">8","2","0-2","1",">8","2","No","Yes","No","Yes","No","Yes",3.09706467112006,3.01976017689004,3.07934474709117,"1","0","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No",">2",">2",">2",">2",">2",">2","0",">2",">2",">2",">2",">0","0","0",">0",">0","0","0",">0","0","0",21.7290539382022,0,3.11561338097002
"16",0,"en",1.17097896058373,1.76409393431766,"Large",8.87793983472502,"Yes","No","Yes",4,2014,10,"Yes",2,"3-5",">2","Yes","Yes","No","No","Yes","0-2","0","0-2","1","0-2","0","No","No","No","Yes","No","No",2.95053403176677,2.9516391012032,2.9495803857139,"0","0","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","0","0","0","0",">2","0","0",">2","2","0",">2","0","0","0","0",">0","0","0","0","0",">0",15.2671246193968,17.0480920693441,0
"17",2.98351560237026,"en",1.21548674203786,1.70870182538799,"Short",19.3685563174673,"Yes","No","Yes",1,2007,8,"Yes",8,"0-2","1","Yes","Yes","No","No","Yes","3-5","0",">8","0","0-2","0","No","No","No","Yes","Yes","No",3.02847889274786,3.02847889274786,2.831902660673,">2",">0","No","No","No","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No",">2","1","1","1","1",">2","0",">2","1","0","2",">0","0","0",">0","0","0","0","0","0","0",21.4014145106319,19.9453438077744,0
"18",0,"en",0.863562019780805,1.75425202639466,"Medium",12.0015116147394,"Yes","Yes","Yes",2,2006,4,"No",26,"0-2","1","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","Unknown","No","No","Unknown","No","No",2.86636310989826,2.87079850210379,2.89835788956681,"0","0","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0.309278769073573
"19",2.89228029230919,"en",0.866793505451747,1.73894710624141,"Medium",17.0085668284817,"Yes","No","Yes",10,2000,3,"No",3,"0-2","1","Yes","Yes","No","No","No","3-5","0","0-2","1","0-2","0","Yes","No","No","No","Yes","Yes",2.98389271184377,2.87555033645579,2.98995388312186,"0","0","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No",">2","1","0","1","1","1","0",">2","0","0","1",">0","0","0",">0","0","0","0",">0","0","0",21.4919103026891,0,2.98389271184377
"20",2.86354630833501,"en",1.06104388488849,1.70267984028498,"Short",17.6693754759276,"Yes","Yes","Yes",6,2005,2,"No",4,"3-5","1","Yes","No","No","No","No","0-2","1","3-5","2","0-2","0","Yes","No","Yes","No","Yes","No",2.99387014816614,2.9692541850002,2.84337702726522,"0","0","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","2","0","0","1","1","1","0",">2","2","0","1",">0","0","0","0",">0",">0","0",">0","0",">0",19.7256133163354,0,2.99387014816614
"21",2.7836671094831,"it",0.796825592798792,1.7163798514468,"Medium",15.2741258132219,"No","No","Yes",11,2009,10,"Yes",9,"0-2","1","No","No","No","Yes","No","0-2","0","0-2","0","0-2","0","No","No","Yes","No","Yes","No",2.87538595745346,2.86208952146989,2.86405514170657,"0","0","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","Yes","No","No","0","1","0","0","1","1","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0",0,0,0
"22",2.92314546309517,"en",1.40119758029979,1.81220959590408,"Large",18.8638276766037,"Yes","Yes","Yes",8,2015,12,"Yes",25,"3-5","1","Yes","No","No","Yes","No",">8",">2",">8","1","6-8","0","No","No","Yes","Yes","Yes","No",3.09746204369132,3.09706467112006,2.98779148131862,"2","0","No","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No",">2",">2",">2",">2","2",">2","0",">2",">2",">2","1",">0","0",">0",">0","0","0","0",">0","0","0",19.3255544569922,0,3.13920749195512
"23",2.65575246196742,"nl",0.665280085940427,1.72894905196598,"Medium",14.2209763327389,"No","Yes","No",10,2008,1,"No",30,"0-2","1","No","No","No","No","No","0-2","0","0-2","0","0-2","0","Yes","No","No","No","No","No",2.86936421888492,2.86606550818684,2.88090712953461,"0","0","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0",3.40794419654897,0,0
"24",2.85073062208483,"en",0.993209793695848,1.80523565038902,"Large",17.0476316358983,"Yes","No","Yes",5,1965,7,"No",1,"0-2","1","Yes","No","No","No","No","0-2","0","3-5","0","0-2","0","No","No","Yes","Yes","Yes","No",2.89228029230919,2.93968322197751,2.77125418716071,">2",">0","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","0","1","0","0","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0",18.0931585836411,16.9616583442861,0
"25",0,"en",0.530310385564417,1.72007860952669,"Medium",16.2134059216717,"Yes","No","Yes",5,1980,6,"No",24,"0-2","1","Yes","No","No","No","No","0-2","1","0-2","0","0-2","0","No","No","No","Yes","No","No",2.95255602538742,2.95456447249079,2.92978104552673,"0","0","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","0","0","0","0","1","0","0","2","0","0",">2","0","0","0","0","0","0","0","0","0","0",0,0,2.97873347174022
"26",0,"en",1.19839192159233,1.7163798514468,"Medium",17.4114026599197,"Yes","No","Yes",7,1993,7,"No",2,"0-2","1","Yes","No","No","No","No","0-2","0","0-2","1","3-5","2","No","Yes","No","Yes","No","Yes",2.87235163019266,2.78672010768028,2.92603673406237,"2","0","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0",">0",18.8491189513626,0,0
"27",0,"fr",0.864240964360218,1.72007860952669,"Medium",13.8708875526856,"No","Yes","No",3,2009,8,"Yes",5,"0-2","2","Yes","Yes","No","No","No","0-2","0","3-5","1","0-2","0","Yes","No","Yes","No","Yes","No",2.93911145817118,2.93550209249637,2.95762109007017,"0","0","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0",">0","0","0","0","0",">0",0,0,0
"28",0,"en",0.722045201061238,1.7163798514468,"Medium",11.6916070718436,"Yes","Yes","No",9,2008,6,"No",24,"0-2","1","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","Unknown","No","Yes","Unknown","No",2.88448827801868,2.88524556568805,2.89167214772969,"0","0","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0
"29",2.9870015645254,"en",1.43049346533369,1.78787422182303,"Large",20.2108488826854,"Yes","Yes","Yes",10,2006,11,"No",14,"3-5",">2","Yes","Yes","No","No","No","3-5","2","0-2","0","0-2","0","No","Yes","No","Yes","No","Yes",2.95616289156004,2.9629280893623,2.98826201945677,">2",">0","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No",">2",">2",">2",">2",">2",">2",">2",">2",">2",">2",">2","0","0","0",">0","0","0","0",">0","0","0",20.0739513851345,18.7741510204252,2.90748731725058
"30",2.78512266622083,"en",0.708036701450664,1.73403132149329,"Medium",16.4827388339907,"Yes","No","Yes",2,1956,5,"No",30,"0-2","1","Yes","No","No","No","No","0-2","0","0-2","0","0-2","0","No","No","Yes","Yes","Yes","No",2.85063865140601,2.86044580683776,2.84583668995509,"1","0","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","0","1","0","0","1","0","0","1","1","0",">2","0","0","0","0","0","0","0","0","0","0",0,0,0
